File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\AdminHomeActivity.java,887,449,263,174,101,544,110,10,54,5,58,1,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\AdminSettingsActivity.java,307,164,85,57,0,229,40,0,13,0,23,0,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\Conversion.java,312,144,103,64,56,110,38,37,41,0,21,5,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\IdleTimer.java,450,229,134,86,44,289,61,0,22,2,30,1,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\JSONTask.java,2016,904,675,436,625,748,256,36,189,6,140,13,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\LecturerBookingActivity.java,416,211,124,80,44,272,49,0,18,1,31,0,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\LecturerHomeActivity.java,589,301,173,114,44,391,81,0,30,1,41,0,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\LecturerLogsView.java,416,220,118,76,5,323,38,0,21,0,26,0,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\LecturerRegisterActivity.java,3146,1460,1015,670,729,1164,626,89,296,5,213,20,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\LecturerRegisterAttendanceActivity.java,3261,1527,1042,691,681,1360,588,36,315,9,255,13,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\LecturerRegisterLogsViewActivity.java,1935,926,610,398,430,926,245,63,140,5,116,8,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\LoginActivity.java,2191,1065,682,443,310,1164,325,15,200,14,153,7,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\LoginIdleActivity.java,1551,761,474,315,263,858,182,21,123,4,92,4,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\Preferences.java,1106,557,330,218,93,629,197,5,76,2,96,6,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\StudentHomeActivity.java,644,332,188,124,44,433,81,0,37,2,43,1,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\StudentTimetableActivity.java,3332,1519,1094,718,931,1105,622,95,302,6,239,28,
C:\Dropbox\workspace\StudentSystem\src\com\example\studentsystem\Urls.java,353,175,111,66,36,170,53,36,15,3,34,3,

Entire Project Time,=SUM(B2:B18),=SUM(C2:C18),=SUM(D2:D18),=SUM(E2:E18),=SUM(F2:F18),=SUM(G2:G18),=SUM(H2:H18),=SUM(I2:I18),=SUM(J2:J18),=SUM(K2:K18),=SUM(L2:L18),=SUM(M2:M18),
